"seller_id","seller_city","seller_state","total_orders","total_items_sold","total_revenue","total_freight","total_gross_revenue","avg_item_price","avg_review_score","total_reviews","positive_review_pct"
"efcd8d2104f1a05d028af7bad20d974b","aracatuba","SP","47","2","2544.77","918.52","3463.29","47.13","4.19","48","93.75"
"fe49ee029e61e789a1f3a5525f57ba8d","osasco","SP","17","1","2527.59","224.85","2752.44","148.68","4.06","17","70.59"
"cce6ab8d1682639fe45ab70234f1665f","curitiba","SP","63","2","2522.70","1167.44","3690.14","38.22","4.44","63","90.48"
"47efca563408aae19bb7206c2d969ea9","teresina","PI","12","1","2522.00","443.32","2965.32","210.17","4.08","12","83.33"
"ede0c03645598cdfc63ca8237acbe73d","ribeirao preto","SP","46","3","2518.37","751.50","3269.87","50.37","3.62","44","72.73"
"318f287a62ab7ac10b703ac37435a231","sao paulo","SP","52","4","2517.48","1117.12","3634.60","40.60","3.87","52","84.62"
"3d39fbf22a665714baf62fae36029e23","campinas","SP","8","1","2504.20","130.63","2634.83","313.03","4.75","8","100.00"
"de0c78824586e9a5f5f04fd84e25df39","vargem grande paulista","SP","14","3","2489.30","208.53","2697.83","155.58","4.44","14","100.00"
"cea729054f157f5870bdd321a958d994","sao paulo","SP","24","2","2482.10","349.52","2831.62","95.47","4.19","24","87.50"
"6989574bd97d9773f10d232b6c07da59","curitiba","PR","7","1","2478.40","321.10","2799.50","354.06","4.86","7","100.00"
"5eeb9c756d9780b96283e5a2ac6da334","ribeirao preto","SP","9","1","2471.00","247.74","2718.74","274.56","4.22","9","77.78"
"c2d70ce2c5d0a2eb75e78668236e6dc8","sao paulo","SP","13","2","2470.90","229.02","2699.92","164.73","4.67","13","107.69"
"3a734b715d333a2588a3d54a0c9b8746","osasco","SP","18","6","2463.52","395.64","2859.16","102.65","4.21","18","105.56"
"1c40343cc5d18c2d8248ac2f3366de34","limeira","SP","21","2","2461.41","378.01","2839.42","111.88","4.55","21","85.71"
"fa74b2f3287d296e9fbd2cc80f2d1cf1","presidente prudente","SP","11","1","2459.89","175.79","2635.68","223.63","2.36","11","36.36"
"a08692680c77d30a0b4280da5df01c5a","sao paulo","SP","6","4","2433.00","227.91","2660.91","143.12","5.00","6","283.33"
"5160d23075764e18e07c1f4a87fad743","sao bernardo do campo","SP","34","4","2429.00","486.42","2915.42","62.28","4.46","34","100.00"
"ed859002ad59dbf8cf3602696a6c3000","londrina","PR","7","4","2421.70","268.94","2690.64","186.28","4.00","7","142.86"
"4b0fdb526525f9890eb145bf1534640e","ibitinga","SP","18","2","2419.00","535.21","2954.21","120.95","3.95","18","77.78"
"888faa8bfb0b159c37de6d898b961c31","braco do norte","SC","19","5","2418.30","526.70","2945.00","105.14","3.87","19","84.21"
"d06d019f72a04e5497a0b64190af170c","cotia","SP","17","1","2415.93","225.51","2641.44","142.11","4.53","17","94.12"
"d3f39f05462b79a4562d35893a28f159","mococa","SP","34","3","2411.30","557.47","2968.77","63.46","3.37","34","64.71"
"76833248bbc0e65a0293ec62023e4396","birigui","SP","2","1","2399.98","230.70","2630.68","1199.99","5.00","2","100.00"
"0bb738e4d789e63e2267697c42d35a2d","sao roque","SP","30","2","2388.30","642.34","3030.64","77.04","4.58","30","100.00"
"6bbcb8924baf70b7fe2fe2097e8cd407","blumenau","SC","10","2","2382.50","264.33","2646.83","216.59","4.55","10","100.00"
"acadd4d36859671cb635527c6c977533","santa rosa de viterbo","SP","12","1","2381.00","265.94","2646.94","198.42","4.25","12","83.33"
"cfe94489ddd337d1e29e12f2a7205d10","sao paulo","SP","20","3","2376.00","296.82","2672.82","99.00","4.13","20","100.00"
"8a87611c08849ffeeccab52aa798b6c7","curitiba","PR","13","2","2369.80","485.32","2855.12","169.27","2.64","13","46.15"
"120476eb7a04c149d14772edaf5d9bf2","angra dos reis","RJ","4","3","2368.80","150.83","2519.63","394.80","3.83","4","75.00"
"9a84ba99f5367fdbd4598363496f1ea2","luziania","GO","16","1","2364.88","463.05","2827.93","139.11","3.71","17","64.71"
"f615fe7efbef0f4f08fd3086bc7a3e60","atibaia","SP","23","2","2359.27","389.69","2748.96","98.30","4.38","23","86.96"
"4978a02ea9c8be7a9b5480680f40334e","sao paulo","SP","18","2","2356.61","340.23","2696.84","124.03","3.58","18","72.22"
"8603f0038fe0e52fedd3382d266723de","garopaba","SC","10","1","2355.00","490.12","2845.12","235.50","4.40","8","112.50"
"daeb5653dd96c1b11860f72209795012","belo horizonte","MG","40","2","2350.70","662.37","3013.07","54.67","4.07","42","83.33"
"3504c0cb71d7fa48d967e0e4c94d59d9","maua","SP","53","2","2349.94","687.37","3037.31","44.34","4.42","53","86.79"
"4391ea5c5990502176a1dcda44a2373d","porto alegre","RS","3","2","2349.00","135.30","2484.30","469.80","4.80","3","166.67"
